epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,52.61675376,52.95048171,67.94354839,54.83870968
2,67.98865121,55.54274167,72.58064516,57.66129032
3,69.72669007,56.33164598,73.18548387,58.31653226
4,70.13900229,58.69529719,72.93346774,64.2641129
5,70.41047518,61.2936806,72.73185484,64.21370968
6,70.50232691,62.11116101,71.21975806,63.30645161
7,70.88708361,62.59899575,73.58870968,64.36491935
8,71.20244121,62.72758818,74.14314516,64.0625
9,71.79233344,63.76653331,73.79032258,66.83467742
10,72.46795395,70.42476323,73.53830645,79.13306452
11,73.03335238,81.49085565,73.68951613,84.67741935
12,73.59466852,87.01930927,75.90725806,91.63306452
13,78.82001143,96.79029229,82.00604839,98.28629032
14,82.42978445,98.70591117,82.76209677,98.48790323
15,84.02086055,99.08148269,84.97983871,99.14314516
16,85.18941868,99.30090627,85.83669355,99.09274194
17,86.20999347,99.44072502,86.64314516,98.48790323
18,87.10299641,99.56421457,86.69354839,99.14314516
19,87.99906107,99.6234079,88.70967742,99.04233871
20,89.03494448,99.68056009,88.00403226,99.39516129
